locality,country,population,year,lat,lon,total,wCin1,wCin2,researcher,
Monza_Brianza,Italy,2102620,2020,45.673531,9.256447,22,1,22,Hadi,
Haguenau,France,215120,2020,48.748198,7.682624,24,13,24,Hadi,
Waldbronn,Germany,216320,2020,48.924444,8.470278,14,3,14,Hadi,
Tours,France,232620,2020,47.403226,0.722919,28,12,28,Hadi,
Saint_Denis_de_l'Hotel,France,233520,2020,47.874224,2.140748,21,8,21,Hadi,
Compiegne,France,234620,2020,49.405868,2.849329,29,7,29,Hadi,
Auvernaux,France,236020,2020,48.542864,2.498612,25,15,25,Hadi,
Parcieux,France,237420,2020,45.918261,4.820728,25,11,25,Hadi,
Beynat,France,237520,2020,45.1591,1.752524,19,1,19,Hadi,
Saint_Medart_en_Jalles,France,237620,2020,44.865966,0.718838,21,2,21,Hadi,-0.718838
Saint_Remy,France,237720,2020,46.35467,0.5385,27,3,27,Hadi,-0.5385
Chaveignes,France,238120,2020,47.01664,0.328501,44,17,44,Hadi,
Wichelen,Belgium,244319,2019,51.011208,3.962311,14,12,14,Hadi,
Rastede,Germany,212919,2019,53.222253,8.239222,23,20,23,Lukas,
Ramstein,Germany,213319,2019,49.4379,7.567989,23,20,23,Lukas,
Salem,Germany,213719,2019,53.649447,10.844381,23,20,23,Lukas,
Sottrum,Germany,214919,2019,53.108903,9.201036,24,23,24,Lukas,
Aicha_vorm_Wald,Germany,218619,2019,48.673803,13.297203,24,8,24,Lukas,
Turje,Hungary,220119,2019,47.014844,17.08967,22,13,22,Lukas,
Szentkiraly,Hungary,220719,2019,46.861545,19.983914,23,10,23,Lukas,
Bugac,Hungary,221419_226119,2019,46.692934,19.569159,22,4,22,Lukas,
Helvecia,Hungary,224119,2019,46.807049,19.50692,24,9,24,Lukas,
Bugac,Hungary,221419_226119,2019,46.692934,19.569159,23,6,23,Lukas,
Kecskemet,Hungary,228019,2019,46.909792,19.699711,24,6,24,Lukas,
Diesen,France,235019,2019,49.177775,6.668064,24,19,24,Lukas,
Flers_en_Ecrebieux,France,237219,2019,50.3969,3.043911,24,12,24,Lukas,
Wichelen,Belgium,244319,2019,51.011208,3.962311,24,23,24,Lukas,
Laage_Vursche,Netherlands,252519,2019,52.180853,5.218339,24,24,24,Lukas,
Knodelhutte,Austria,290220,2020,48.216817,16.241818,18,12,18,Erika/Julia,
Reiskirchen,Germany,211518,2018,50.597669,8.816342,16,9,16,Erika/Julia,
Friedensdorf,Germany,211718,2018,52.305797,13.787164,16,8,16,Erika/Julia,
Berliner_Urstromtal,Germany,211818,2018,52.336606,14.220769,16,5,16,Erika/Julia,
Groß_Breesen,Germany,212018,2018,51.993697,14.668558,15,10,15,Erika/Julia,
Altenfelden,Germany,210118,2018,49.265992,11.208325,28,15,28,Erika/Julia,
Noises,Germany,210218,2018,49.337839,11.099386,12,9,12,Erika/Julia,
Maudach,Germany,210318,2018,49.450581,8.366969,16,5,16,Erika/Julia,
Lorsch,Germany,210418,2018,49.6606,8.571125,15,7,15,Erika/Julia,
Darmstadt,Germany,210518,2018,49.871903,8.615847,25,11,25,Erika/Julia,
Wittenberg_Friedhof,Germany,211218,2018,51.864939,12.666986,16,11,16,Erika/Julia,
Luckenwalde,Germany,211318,2018,52.075019,13.163969,16,5,16,Erika/Julia,
Heinersbrück,Germany,212118,2018,51.784119,14.473036,16,2,16,Erika/Julia,
Heidenhäuser,Germany,212218,2018,51.530717,14.692769,16,13,16,Erika/Julia,
Görlitz,Germany,212318,2018,51.153183,14.992553,24,11,24,Erika/Julia,
Leuba,Germany,212418,2018,51.048172,14.951753,16,7,16,Erika/Julia,
Lowisko_Stoszki,Poland,280321,2021,52.341992,17.398585,21,17,21,Erika/Julia,
Oski_Piec,Poland,280421,2021,53.603029,18.37374,16,7,16,Erika/Julia,
Muszaki,Poland,280521,2021,53.375867,20.588845,3,1,3,Erika/Julia,
Novago,Poland,280621,2021,53.149309,20.403345,20,12,20,Erika/Julia,
Pepice,Poland,280121,2021,50.992486,17.456019,24,9,24,Erika/Julia,
Wojcicw,Poland,280221,2021,50.831335,17.424079,24,6,24,Erika/Julia,
Krakowska,Poland,281121,2021,49.994995,19.598285,7,1,7,Erika/Julia,
Bluszczow,Poland,281221,2021,49.721015,19.232676,12,2,12,Erika/Julia,
Cienista,Poland,280821,2021,51.155303,22.510867,34,0,34,Erika/Julia,
Puvociai,Lithuania,270119_270120,2019,54.110315,24.301387,7,4,7,Erika/Julia,
Puvociai,Lithuania,270119_270120,2020,54.110315,24.301387,17,8,17,Erika/Julia,
